1278705043,@starsportsindia chillana h toh india-india chillana pak-pak toh murgi bhi karti h.. #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705590,"janata ko sidhe joड़ne vala yani unaki jamini suvidhao ko pahali prarthamikta dene vala ho ,ye suvidha surakcha satarkata kesatha bajata ..#railbudget2015","
Non Aggressive
",-
1278705591,#pakistan #phordallo ...#india ki ....... aur patakhay bhi...#cwc15 #indvspak #pakvsind #adelaide #mauka #starsportsindia,"
Overtly Aggressive
",Geographical Aggression
1278705592,kal agar koi record nhi torega to usko na ham asa dhulai dega #indvsuae #cwc,"
Non Aggressive
",-
1278705593,"bhosaड़i ke dilli jita gae to bjp ko ego dikha rahe ho cutiyom 15 se ramdirona zuru karana,kemdra bajata nahim de raha,bhajapa madada nahim kara rahi| #aapsweep","
Overtly Aggressive
",Political Aggression
1278705594,"vaha petrola, dijala mahamga; ise kahate haim koढ़ mem khaja #superbudget #unionbudget2015 #indvsuae #askyourfm #sabkabudget","
Covertly Aggressive
",Political Aggression
1278705595,rt @aajtak: breaking news: balli marana se kamgresa ke haruna yusupha piche #delhidecides,"
Non Aggressive
",-
1278705596,rt @tweet_tan_ic: chalo chalein #modi ke saath?? kisaan gaye the... dekho kya dasha ho gayi !! 😢😢😢😢 #landacquisitionbill #bjp #aap http://t…,"
Covertly Aggressive
",Political Aggression
1278705597,"""beta ghar wapas aa jao. sab ne tumhe maaf kardiya hai. yeh vhp or rss waale bhi tumhare 'ghar wapasi' ko celebrate karenge."" #rahulonleave","
Non Aggressive
",-
1278705598,"#blockbustermsg begunaho-gunahagarom ko baख़zane ka tune ajaba khela racaya , msg dikha kara sabaka caina aura sukuna uड़aya |","
Covertly Aggressive
",General Non-threatening Aggression
1278705599,ab bhi 300 hosakte hain bas.. dhawan ko hit karna band nahi karna hoga... :/ #indvssa,"
Non Aggressive
",-
1278705600,tera jhadu cala gaya #aapsweep #aapstorm #aapkidilli,"
Covertly Aggressive
",Political Aggression
1278705601,suna he aja rail budget aya he #railbudget2015,"
Non Aggressive
",-
1278705602,"#railbudget2015 mem rajaniti ki nahim, kevala nitiyom ki jhalaka mili|varana aba taka rela mamtri sirpha apane rajyom ko nai rela upahara svarupa dete rahe haim |","
Overtly Aggressive
",Political Aggression
1278705603,"""@poonia777: vakta ke satha satha bahuta kucha badala jata hai loga bhi..rizte bhi..pyara bhi ehasasa bhi.....aura .....kabhi kabhi hama bhi..... 🌍 #blockbustermsg 🎬🌴""","
Non Aggressive
",-
1278705604,rt @arun_sp: abhi hama jinda haim ~ msd #indvssa,"
Non Aggressive
",-
1278705605,pawan sharma aap adarsh nagar assembly leading 8999 vot margin #aapsweep @aamaadmiparty #delhiresults #kiskidilli http://t.co/0hceuhtgc1,"
Non Aggressive
",-
1278705606,kejriwal aur uske vado ko expose karne ke liye delhi ki satta uske haath dena zaruri tha #delhidecides #kiskidilli,"
Overtly Aggressive
",Political Aggression
1278705607,dettol dettol dettol dettol dettol dettol dettol rt agar padhne ki bajay aapne gaaya ho! #dettol #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705609,@gurmeetramrahim sbhi premi bhai behno ko diwali ki unki diwali ki bht bht bhdhai #msgincinemas,"
Non Aggressive
",-
1278705610,sautha aphrika ko sata dazamalava aika pamca ki ausata se rana darakara ... jabaki di vilyara ke bada unake pasa ballebaja haim bekara .. #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278705611,hama aise samaja mem ji rahe he janha mamsa nahi khane vale barhamin loga masa khane vale logo se bhi jyada masa khate he | #beefban,"
Covertly Aggressive
",General Non-threatening Aggression
1278705612,rt @vickypshinde: muje @aamaadmiparty ka supporter hone ke karan galiya dene walo ... kuch kehna nahi chahoge.. #aapsweep #delhidecides,"
Covertly Aggressive
",Political Aggression
1278705613,"kivein rokenge tu movie nu choutalya 👅, a rabb di bnayi hoi ae .👅 #msgincinemas #isupportmsginpunjab http://t.co/qtye2nvqyb","
Non Aggressive
",-
1278705614,sala aba dekho maica khatma hote hi gilani sami ke khilapha फ़tava nikala dega kaफ़ira hai sala kaphira mullo ke viketa leta hai #dezitvita #indvssa,"
Overtly Aggressive
",Political Aggression
1278705615,#aapsweep sajia ilmi pr mujhe aaj bahut daya aa rahi hai..,"
Covertly Aggressive
",Political Aggression
1278705616,piesayu aura praiveta sektara ko satha liya jaegah @sureshpprabhu http://t.co/bpvpw6cc0a #railbudget2015 #prabhukirela #indianrailways,"
Non Aggressive
",-
1278705617,jeet gaya bhai jeet gaya. hindustaan jeet gaya .. mauka mauka aur mauke pe maare south africa ne choke-a .. #indvssa,"
Non Aggressive
",-
1278705618,sir jadeja is kachra of lagaan movie. #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278705619,bc gaand faad raha hai south africa ki #indvssa,"
Overtly Aggressive
",Curse / Abuse
1278705620,rt insankeerti: rt ruchisi62934179: jasmer477 tarsem_insan gaganchopra07 gurmeetramrahim #mustwatchmsg #blockbustermsg dhan dhan satguru te…,"
Non Aggressive
",-
1278705621,#indvssa time for mauke pe choka #wewontgiveitback,"
Non Aggressive
",-
1278705622,caya se ja़yada kitali garama!! kucha to karate jetali zarama ?? @ravishndtv #corporatekabudget #unionbudget2015,"
Overtly Aggressive
",Political Aggression
1278705623,"#indvspak #wc2015, ai vatana-ai-pakistana ! teri hasarata se meri pha़itarata basa itani juda hai, hasaratom ko dapha़na kara teri pha़itarata ko apani hamane javam kiya hai !","
Non Aggressive
",-
1278705624,dale steyn ke ball pe kohli maarega chaka ab ki baar south africa #indvssa,"
Non Aggressive
",-
1278705625,ai dilli tere amgana me naya suraja cadha़ne vala hai| suna hai 10 lakha ke sutom pe 100 ru ka maphalara bhari pada़ne vala hai|| #aapsweep,"
Covertly Aggressive
",Political Aggression
1278705626,@istandwithindia yaham muफ़ta ke vade ki jita hui hai vikasa ki hara nahi !! #delhidecides,"
Covertly Aggressive
",Political Aggression
1278705627,suna hai aba taka 56ka sikvala gujarata ke enakaumtara spezalista pulisa adhikari ki jivani pe adharita hai| dekhate samaya apane viveka ka upayoga karem| #aapsweep,"
Non Aggressive
",-
1278705628,rt @jasmer477: @ssukhpalro @gurmeetramrahim @pr33tinsan @noor91renu @insakhushi usa allaha gauda ne de rakhi🌊💧☔ badalom mem cabi hai #msg3successf…,"
Non Aggressive
",-
1278705629,"rt @rajinderinsan7: #msgincinemas ajj din hai ye kitna suhana hmare ,,murshad ka hua aana k sab nache jhume ga rhe hai,,,,","
Non Aggressive
",-
1278705630,shakal dikhane aya tha???? highly disappointed #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705631,#relabajata #railbudget2015 isa varsa hama vijana 2030 bhi lekara aemge http://t.co/5ul1ycqsxz @pmoindia @railminindia #sureshprabhu,"
Non Aggressive
",-
1278705632,"#breaking kejarivala ne kaha, midiya sarakara para samaya sima ka dabava na banaye| #aapsweep #aapkacm #arvindkejriwal http://t.co/r7xmxelulp","
Non Aggressive
",-
1278705633,@gurmeetramrahim #blockbustermsg jaroor roka gye ji,"
Non Aggressive
",-
1278705634,gomamsa ke paksa mem bola ke apane apa ko aura mata girao#vishaldadlani #beefban,"
Covertly Aggressive
",Political Aggression
1278705635,rt @vaidehisachin: bhrastacariyom para jute phemkane valom ke lie khuzakhabari ……… naye bajata mem camada़e ke jute saste hue haim #superbudget #unionbudget…,"
Covertly Aggressive
",Political Aggression
1278705636,rt @iasifkhan: abey saalon.....ab highlight per bhi satta lagaoge? #indvssa #jaihind,"
Overtly Aggressive
",Curse / Abuse
1278705637,@gurmeetramrahim #blockbustermsg thank u papaji n apako bhi mahazivaratari ki bahuta - bahuta zubha kamanaai| 😇😇😘,"
Non Aggressive
",-
1278705638,raina barse tarse dil mange more #indvspak #bleedblue,"
Non Aggressive
",-
1278705639,"kirana bedi - meri hara ka karana bukhari ka phatava hai manoja tivari - na didi na, tohara hara ke karana bhitara 'ghatava' hai ! #novip #aapsweep #aapstorm #aap","
Covertly Aggressive
",Communal Aggression
1278705640,@sujit_kr_lucky jasana ki taiyari suru kara do bhai mauka mauka #indvssa,"
Non Aggressive
",-
1278705641,rt @raahul__: dhavana auta raina andara #jayahinda #indvssa,"
Non Aggressive
",-
1278705642,rt @msrbpl: aja jisa taraha aphrikana tima maica hari hai aisa laga raha hai mano rahula gamdhi ne unake lie pracara kiya ho| #indvssa #savsind #indiawins,"
Non Aggressive
",-
1278705643,"relave ko aisi elgoridama lani cahie jisase hara bande ke bagala mem bamdi ke baithane ka jugaड़ ho jaye,ekcuali mem khuziya bamtani cahie #railbudget2015","
Non Aggressive
",-
1278705644,gaand lagne waali hai #indvssa,"
Overtly Aggressive
",Curse / Abuse
1278705645,@gurmeetramrahim #msgincinemas pita g balle balle hoi pai aag,"
Non Aggressive
",-
1278705646,@gurmeetramrahim ...yeaaaahhh!!!!! 4 sure...maa rokkkkuuuu paaaaaa!!#msgincinemas!!@msgthefilm,"
Non Aggressive
",-
1278705647,"@coolfunnytshirt hum to aam aadmi hain...hamari itni aukat kaha ki hum #indvspak match dekhein,hum to #zimvsa dekh rahe hain ji...!","
Covertly Aggressive
",General Non-threatening Aggression
1278705648,"bijepi ऑphisa jao bace hue patakhe jalao aura laddu kha lo,😂😂😂 @mrsgandhi: party to banti hai!!! #indvspak""","
Non Aggressive
",-
1278705649,#worldcup mem bharata-pakistana maica ke rocaka facts #cwc2015 #teamindia #indvspak... http://t.co/pb1n32u4am,"
Non Aggressive
",-
1278705650,koi joginder sharma aur sreesanth ko dhund kar lao pls. #indvspak #cwc15 #indiawins,"
Covertly Aggressive
",General Non-threatening Aggression
1278705651,pm banne ke baad #modi ji ne 786546 gb ka bhashan toh de diya lekin unke kaam ka data 1kb ka bhi nahi hai !! #aapsweep #aap #bjp,"
Overtly Aggressive
",Political Aggression
1278705652,7. sabhi relave stezana para kriketa maica dekhane ke lie baड़i led tvs honi cahie| #railbudget2015,"
Non Aggressive
",-
1278705653,"rt @simplyhimanshur: atma ka vastavika uddezya zunya stithi ko prapta kara parama anamda ki prapti hai,mayavati ke badaaja rahula ga~dhi ne ise pra…","
Non Aggressive
",-
1278705654,zadi ke samaroha mem bhi kriketa ka jununa #indvspak #jayahinda #jayahimda http://t.co/a6bwtqubtv,"
Non Aggressive
",-
1278705655,rt @arunitib: #msgincinemas chalo chaliye gadi utte lad ke sade babe di film vekhne.......#lovetoseemsg13feb,"
Overtly Aggressive
",Sexual Aggression
1278705656,eka kisana ki najara se dekhem naya #landacquisitionbill http://t.co/7himpgfzdq,"
Covertly Aggressive
",General Non-threatening Aggression
1278705657,"@gurmeetramrahim #msg3successfulweeks ""dhana dhana sataguru tera hi asara"" gud mng pitaji ! http://t.co/mlshxzqpxk","
Non Aggressive
",-
1278705658,"nahim ae 'acche dina', inakama taiksa mem koi badalava nahim, hotala mem khana aura bila hoga mahamga #superbudget #unionbudget2015 #budget2015","
Overtly Aggressive
",Political Aggression
1278705659,@daaruwalaa delhi valo ko dharane vale bahuta pasamda hai... kyumki mahila suraksa ke lie aparadhiyo ko dharana ज़ruri hai| #aapsweep,"
Overtly Aggressive
",Political Aggression
1278705660,@gurmeetramrahim #welovemsg #msgincinemas hum hai deewane satguru teri ada ke. @geetikainsan @itwingdss http://t.co/mcdkksjrqd,"
Non Aggressive
",-
1278705661,irfan gaadu fulltoss eyyaaalante bhayapdaalaaa :d kottraaa kotttuuu.. #raina #kohli #indvspak,"
Overtly Aggressive
",Curse / Abuse
1278705662,"rt @yr_conscience: amit @ikumar7,baccu aba tumhara kya hoga?zadi bhula jao. #unionbudget2015 @aamaadmiparty @dilipkpandey @raghav_chadha htt…","
Covertly Aggressive
",General Non-threatening Aggression
1278705663,rt @lokardi_rt: poore teen runs chahiye. sirf 32 overs mein. #indvsuae,"
Non Aggressive
",-
1278705664,"@gurmeetramrahim pitaji mera dila cahe,roja apase hi bata ho| gud morning papa g #blockbustermsg #msgincinemas","
Non Aggressive
",-
1278705665,sorry magara ye acchi bata nahi.... :( https://t.co/ovlx38mzu2 akhari tvita ? :( https://t.co/ldgr6fg06o #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278705666,varldakapa mem zanadara zuruata ke lie team india ko bahuta-bahuta badhai.. #indvspak #cwc15,"
Non Aggressive
",-
1278705667,"rt @prabhakar2july: sacina stadium mem baitha ke match dekhe, gamguli stadium mem commentary kare, aura lada़ke match hara jaye #indvssa #cwc15 #india…","
Covertly Aggressive
",General Non-threatening Aggression
1278705668,dilli mem kejarivala ne kamgresa ko inova parti bana diya tha isa bara bijepi ko ektiva parti bana diya he #aapsweep @kiran_patniak @lambaalka,"
Overtly Aggressive
",Political Aggression
1278705669,@gurmeetramrahim #blockbustermsg pitaji apko bh bhut bhut shubhkamnaye,"
Non Aggressive
",-
1278705670,pichale varlda kapa mem maica dekhane ae cara darjana pakistaniyom ko abhi bhi ai. bi dhu~dha rahi hai ... #indvspak,"
Overtly Aggressive
",Geographical Aggression
1278705671,@narendramodi janata jivana mem badalava cahati hai..isalie satta badalava kara rahi hai...#aapsweep,"
Non Aggressive
",-
1278705672,"rt @oneindiahindi: live barbadi ki kagara para dilli bhajapa, apa ki 63 sitem http://t.co/omshzzmwfw #kiskidilli #delhidecides @aamaadmiparty ht…","
Overtly Aggressive
",Political Aggression
1278705673,diye or aandhi ki ladayi hai or aj diye ki jeet ho rhi hai.. hurrryy huurrryyyy #5saalkejriwal #delhidecides #aamaadmiparty,"
Non Aggressive
",-
1278705674,@srbachchan raam se bada raam ka naam.... aur humare raam aap.... #shamitabh,"
Non Aggressive
",-
1278705675,@srbachchan #shamitabh trailer dekha. dum hai boss.,"
Non Aggressive
",-
1278705676,@gurmeetramrahim #msgincinemas katra katra khoon ka hamra desh ke liye...,"
Non Aggressive
",-
1278705677,rt @spoonia777: @gurmeetramrahim 📺 #msgincinemas 🎬 ika thahara hua khyala tera kitane lamhom ko rapha़tara deta hai,"
Non Aggressive
",-
1278705678,#indvssa #india lagayega mauke pe chuka,"
Non Aggressive
",-
1278705679,"rt @surenderinsan6: nazare dekhe jab tumhein woh bhi bahekte hain, jidhar se tum guzar jateh ho woh rasteh mehekteh hain. lov u papa #msg3s…","
Non Aggressive
",-
1278705680,south africa ka to balatkar ho gai #indvssa 😂😂😂,"
Overtly Aggressive
",Geographical Aggression
1278705681,suprabhata jaya zri radhe good luck #indvssa @musuqueen @priyanka09raj http://t.co/3osfe7vnx9,"
Non Aggressive
",-
1278705682,@gurmeetramrahim #msgincinemas g pitag isi tarah se aap g ki rahmat bani rahe g.dhan dhan satguru tera hi aasra g,"
Non Aggressive
",-
1278705683,bhai vo pathake mujhe de do. apa to phoda nahim paoge #indvspak #cwc15 #worldcup2015,"
Covertly Aggressive
",General Non-threatening Aggression
1278705684,rt @pshunglu: philahala upadravi gotra ke to kirti aja़ada dikha rahe| #aapsweep,"
Covertly Aggressive
",General Non-threatening Aggression
1278705685,aaj anushka sharma ke ghar phool barsange... #indvspak #cwc15,"
Non Aggressive
",-
1278705686,#msgincinemas pitaji aapne humme msg ke roop main 2015 main sabse badi daat bakshi hai aap ko koti koti dhanyavad,"
Non Aggressive
",-
1278705687,rt insanseenu: rt poojaag96055304: surekhainsan yes di #blockbustermsg http://t.co/vqksrex9tx,"
Non Aggressive
",-
1278705688,bajata ke kagaja samsada bhavana pahumce http://t.co/ybvfkbxxpr #budget2015 #unionbudget2015 #budgetforachhedin,"
Non Aggressive
",-
1278705689,ab kejriwal dharna pe kis baat pe beithenge ?? #justasking . app ki jeet pe? #delhidecides #delhivotes #delhielections,"
Covertly Aggressive
",Political Aggression
1278705690,"rt @raajasaheb: jisa khiladi ke lie kabhi duvae mamgate the , kala usake zunya pe auta hone ka kamana karate hai ..!! #jayabholenatha #indvssa #dezi…","
Non Aggressive
",-
1278705691,"6 rajya me aiims khulemge, kya ye acche dina ki zuruvata nahi hai #superbudget #ghamtabajata #sabkabudget #askyourfm #unionbudget2015 #budget4mii","
Non Aggressive
",-
1278705692,#pakvwi #indvssa zikhara dhavana bata rahe haim ki kyom salekzana ke lie ravi zastri cahie na ki naja़ma sethi http://t.co/ggwt6dadrl,"
Covertly Aggressive
",Political Aggression
1278705693,@gurmeetramrahim #msgincinemas #mustwatchmsg ..pitaji film is very jhakkasssssssssssssss,"
Non Aggressive
",-
1278705694,rt @news24tvchannel: #prabhukipariksa: kya modi sarakara kama karegi yatri kiraya?.. dekhiye @news24tvchannel para rela bajata laiva. #railbudget2015 ht…,"
Non Aggressive
",-
1278705695,tumse na ho payega bhai rehne de ... #indvspak #worldcup http://t.co/ntnsumjxw5,"
Covertly Aggressive
",General Non-threatening Aggression
1278705696,rt @ektadoda: @gurmeetramrahim #msgincinemas papaji sare din simran ki yaad bani rahe ji...,"
Non Aggressive
",-
1278705697,#landacquisitionbill dekhiye tvitara para bijepi kaॉrporeta adhigrahana kanuna ko peda pramozana kara rahi hai| @sanjayazadsln http://t.co/ckaxlhrp1d,"
Non Aggressive
",-
1278705698,mouka mouka...mouke pe chouka chokers choked again!! 😂😂😂😂 #indvssa #indiawon http://t.co/qim0nbltee,"
Non Aggressive
",-
1278705699,rt @samar_anarya: modi sarakara bhejegi dilli ke 54% matadataom ko pakistana| samsada giriraja simha ko saumpa gaya karyabhara| #aapsweep #delhidecides,"
Covertly Aggressive
",Political Aggression
1278705700,aba taka 13 cauke jada़ cuke haim zikhara dhavana| dekhem laiva skorah http://t.co/ng1zpsvpl3 #cwc15 #indvssa,"
Non Aggressive
",-
1278705701,"@rajeshkalra @timesofindia @aamaadmiparty ab jaake pata chala, kitna hari-bhari hai hamari rajdhani...!! #aapkidilli #aapsweep","
Covertly Aggressive
",Political Aggression
1278705702,@shoeb_srk @samia_srk @faizan_srk @shahebaz4srk mujhe to gussa aa raha h... bacho ko ly liya baap @imzaheer ko liya nhi #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
